audio,audio.vital.synth,Vital.clap
audiodamage,com.audiodamage.dubstation2,Dubstation 2.clap
audiomodern,com.audiomodern.chordjam,Chordjam.clap
audiority,com.audiority.polaris,Audiority/Polaris.clap
audiority,com.audiority.spacestationum282,Audiority/Space Station UM282.clap
audiothing,com.audiothing.thingsbubbles,ThingsBubbles.clap
audiothing,com.audiothing.filterjam,Filterjam.clap
audiothing,com.audiothing.springs,Springs.clap
audiothing,com.audiothing.thingsmotor,ThingsMotor.clap
audiothing,com.audiothing.fogconvolver2,FogConvolver2.clap
audiothing,com.audiothing.valves,Valves.clap
audiothing,com.audiothing.outerspace,OuterSpace.clap
audiothing,com.audiothing.noises,Noises.clap
audiothing,com.audiothing.thingsflipeq,ThingsFlipEQ.clap
audiothing,com.audiothing.thingscrusher,ThingsCrusher.clap
audiothing,com.audiothing.spacestrip,SpaceStrip.clap
audiothing,com.audiothing.thingstexture,ThingsTexture.clap
audiothing,com.audiothing.blindfoldeq,BlindfoldEQ.clap
birdbird,com.birdbird.birdsampler,Rolling Sampler.clap
chowdsp,org.chowdsp.chowkick,ChowKick.clap
chowdsp,org.chowdsp.byod,BYOD.clap
chowdsp,org.chowdsp.chowmultitool,ChowMultiTool.clap
chowdsp,org.chowdsp.chowtapemodel,CHOWTapeModel.clap
cwitec,com.cwitec.tx16wx,TX16Wx.clap
josephlyncheski,com.josephlyncheski.minimetersserver,MiniMetersServer.clap
martinic,com.martinic.clap.lemechomusic,Lem Echo Music.clap
nakst,nakst.regency,Regency.clap
nakst,nakst.apricot,Apricot.clap
nakst,nakst.fluctus,Fluctus.clap
sonosaurus,com.sonosaurus.paulxstretch,PaulXStretch.clap
studio,studio.kx.distrho.wstd_fl3ngr,WSTD_FL3NGR.clap
studio,studio.kx.distrho.aida-x,AIDA-X.clap
studio,studio.kx.distrho.wstd_dl3y,WSTD_DL3Y.clap
surge-synth-team,org.surge-synth-team.surge-xt,Surge XT.clap
surge-synth-team,org.surge-synth-team.surge-xt-fx,Surge XT Effects.clap
the wave warden,,Odin2.clap
theusualsuspects,com.theusualsuspects.tusv,Osirus.clap
theusualsuspects,com.theusualsuspects.tmqs,Vavra.clap
timothyschoen,com.timothyschoen.plugdata,plugdata.clap
timothyschoen,com.timothyschoen.plugdata-fx,plugdata-fx.clap
toguaudioline,ch.toguaudioline.talnoisemaker,TAL-NoiseMaker.clap
u-he,com.u-he.filterscape.clap,u-he/Filterscape.clap
u-he,com.u-he.hive.clap,u-he/Hive.clap
u-he,com.u-he.diva.clap,u-he/Diva.clap
u-he,com.u-he.mfm2.clap,u-he/MFM2.clap
vcvrack,com.vcvrack.rack,VCV Rack 2.clap
